fred_id,ref_o,doi_o,study_o,ref_r,doi_r,url_r,link_r,study_r,abstract_r,entries_per_rep,outcome,outcome_quote,out_quote_source
soscisubmission17,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. Experiment 1",10.1037/h0055756,1,"Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",NA,https://osf.io/74892/,https://drive.google.com/file/d/1vQ_N2Xj2ZnPgFeCeNdEgfQ5R1wMoUO6H/view?usp=drivesdk,NA,NA,2,,,abstract
XPHI19,"Nadelhoffer, T., & Feltz, A. (2008). The actor–observer bias and moral intuitions: Adding fuel to Sinnott-Armstrong’s fire. Neuroethics, 1, 133-144.",10.1007/s12152-008-9015-7,1,"Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., ... & Zhou, X. (2021). Estimating the reproducibility of experimental philosophy. Review of Philosophy and Psychology, 12, 9-44.",10.1007/s13164-018-0400-9,https://osf.io/fmynh/files/rts9a,https://drive.google.com/file/d/1hjI3aqifdfXjWhQAlvKCKKtvjuncAn5M/view?usp=drivesdk,NA,NA,1,,,abstract
Arb82,"Hart W, Albarracín D. Learning about what others were doing: verb aspect and attributions of mundane and criminal intent for past actions. Psychol Sci. 2011 Feb;22(2):261-6. doi: Epub 2010 Dec 30. PMID: 21193778; PMCID: PMC3626430.",10.1177/0956797610395393,3,"Eerland, A., Sherrill, A. M., Magliano, J. P., Zwaan, R. A., Arnal, J. D., Aucoin, P., Berger, S. A., Birt, A. R., Capezza, N., Carlucci, M., Crocker, C., Ferretti, T. R., Kibbe, M. R., Knepp, M. M., Kurby, C. A., Melcher, J. M., Michael, S. W., Poirier, C., & Prenoveau, J. M. (2016). Registered Replication Report: Hart & Albarracín (2011). Perspectives on Psychological Science, 11(1), 158-171.",10.1177/1745691615605826,https://osf.io/d3mw4/,https://drive.google.com/file/d/1WZ3vLKAiyXVJ8Y7P_HaRQAjUO19rFtGj/view?usp=drivesdk,NA,"Language can be viewed as a complex set of cues that shape people’s mental representations of situations. For example, people think of behavior described using imperfective aspect (i.e., what a person was doing) as a dynamic, unfolding sequence of actions, whereas the same behavior described using perfective aspect (i.e., what a person did) is perceived as a completed whole. A recent study found that aspect can also influence how we think about a person’s intentions (Hart & Albarracín, 2011). Participants judged actions described in imperfective as being more intentional ( d between 0.67 and 0.77) and they imagined these actions in more detail ( d = 0.73). The fact that this finding has implications for legal decision making, coupled with the absence of other direct replication attempts, motivated this registered replication report (RRR). Multiple laboratories carried out 12 direct replication studies, including one MTurk study. A meta-analysis of these studies provides a precise estimate of the size of this effect free from publication bias. This RRR did not find that grammatical aspect affects intentionality ( d between 0 and −0.24) or imagery ( d = −0.08). We discuss possible explanations for the discrepancy between these results and those of the original study.",1,,,abstract
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,,abstract
