rowid,fred_id,claim_text_o,doi_o,link_o,doi_r,link_r,code_es_o,code_es_r,check_p_o,check_p_r,es_value_o,es_type_o,es_repr_o,pval_value_o,pval_type_o,pval_tails_o,es_value_r,es_type_r,es_repr_r,pval_value_r,pval_type_r,pval_tails_r
NA,additional_studies235,"""However, [...] accuracy showed [not] a significant main effect of condition [...] (all Fs < 1).""",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,F < 1,test statistic,p. 4,0.05,g (>),NA (not reported),X2 (1) = 15.28,test statistics,p. 7,0.001,l (<),NA (not reported)
NA,additional_studies235,"""The main effect of the degree of rotation was statistically significant for [...] mental rotation accuracy [F(2, 28) = 23.7, p < .001]""",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,"F(2, 28) = 23.7",test statistic,p. 3,0.001,l (<),NA (not reported),X2 (1) = 79.29,test statistics,p. 7,0.001,l (<),NA (not reported)
NA,additional_studies235,"""However, [...] accuracy showed a significant main effect of condition or a significant interaction between condition and degree of rotation (all Fs < 1).""",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,F < 1,test statistic,p. 4,0.05,g (>),NA (not reported),X2 (1) = 0.09,test statistics,p. 7,0.764,e (=),NA (not reported)
NA,additional_studies235,"""The only sign of interference was a reduction in memory accuracy in the dual-task condition in comparison with the memory-alone condition, but this effect did not increase as the degree of rotation increased. [...] The main effect of condition was significant [F(1,14) = 6.0, p < .05],",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,"F(1, 14) = 6.0",test statistic,p. 2,0.05,l (<),NA (not reported),X2 (1) = 33.22,test statistics,p. 7,0.001,l (<),NA (not reported)
NA,additional_studies235,"""The only sign of interference was a reduction in memory accuracy in the dual-task condition in comparison with the memory-alone condition, but this effect did not increase as the degree of rotation increased. [...]",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,F < 1,test statistic,p. 4,0.05,g (>),NA (not reported),X2 (1) = 0.61,test statistics,p. 7,0.435,e (=),NA (not reported)
NA,additional_studies235,"""The only sign of interference was a reduction in memory accuracy in the dual-task condition in comparison with the memory-alone condition, but this effect did not increase as the degree of rotation increased. [...]",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,F < 1,test statistic,p. 4,0.05,g (>),NA (not reported),X2 (1) = 1.14,test statistics,p. 7,0.285,e (=),NA (not reported)
NA,curatescience54,"""Literary [...] were seen as better examples of literature (4.84 +/- 1.40, CI = 4.56, 5.11) than popular texts (4.43 +/- 1.60, CI = 4.15, 4.72; F1,223 = 4.04, P = 0.04, wp2 = 0.01).""",10.1126/science.1239918,https://drive.google.com/file/d/16w-mzwoY4czOLW1CWtNqG_1fcM557vJf/view?usp=drivesdk,NA,NA,TRUE,TRUE,TRUE,TRUE,0.01,omega squared (partial),p. 3,0.04,e (=),NA (not reported),t(391) = 3.137,test statistic,p. 6,0.002,e (=),NA (not reported)
NA,curatescience54,"""Reported transportation did not significantly differ across conditions (F1,223 = 3.20, P= 0.07, wp2 = 0.00), although it was slightly higher in the literary condition (3.90 +/- 0.41, CI = 3.83, 3.98) than the popular condition (3.81 +/- 0.39, CI = 3.73, 3.88).""",10.1126/science.1239918,https://drive.google.com/file/d/16w-mzwoY4czOLW1CWtNqG_1fcM557vJf/view?usp=drivesdk,NA,NA,TRUE,TRUE,TRUE,TRUE,0,omega squared (partial),p. 3,0.07,e (=),NA (not reported),t(391) = 5.739,test statistic,p. 6,0.001,l (<),NA (not reported)
NA,curatescience54,"""The analytical strategy used in experiment 4 was also used for the Yoni task. The main effect of condition (F2, 351 = 0.64, P = 0.52) was not significant""",10.1126/science.1239918,https://drive.google.com/file/d/16w-mzwoY4czOLW1CWtNqG_1fcM557vJf/view?usp=drivesdk,NA,NA,TRUE,TRUE,TRUE,TRUE,"F(2, 351) = 0.64",test statistic,p. 3,0.52,e (=),NA (not reported),0.019,etasqu (partial),p. 6,0.006,e (=),NA (not reported)
NA,curatescience54,"""The interaction of Author Recognition Test scores, trial difficulty, and trial type approached significance (F1,351 = 2.88, P = 0.09)""",10.1126/science.1239918,https://drive.google.com/file/d/16w-mzwoY4czOLW1CWtNqG_1fcM557vJf/view?usp=drivesdk,NA,NA,TRUE,TRUE,TRUE,TRUE,"F(1, 351) = 2.88",test statistic,p. 3,0.09,e (=),NA (not reported),0.036,etasqu (partial),p. 6,0.001,l (<),NA (not reported)
NA,curatescience54,"""there was a significant interaction of condition and the two within-subjects factors, trial difficulty and trial type (F2,351 = 3.42, P = 0.03).",10.1126/science.1239918,https://drive.google.com/file/d/16w-mzwoY4czOLW1CWtNqG_1fcM557vJf/view?usp=drivesdk,NA,NA,TRUE,TRUE,TRUE,TRUE,"F(2, 351) = 3.42",test statistic,p. 3,0.03,e (=),NA (not reported),0.02,etasqu (partial),p. 6,0.005,e (=),NA (not reported)
NA,curatescience54,"""To disentangle the three-way in-teraction including the experimental condition, a repeated measures ANCOVA, with item type (cognitive, affective) and condition as factors, and performance on the control task as covariate, was conducted separately for first-order and second-order trials. On first-order trials, there was a main effect of the covariate (b = 0.20, P < 0.001, wp2 = 0.03)""",10.1126/science.1239918,https://drive.google.com/file/d/16w-mzwoY4czOLW1CWtNqG_1fcM557vJf/view?usp=drivesdk,NA,NA,TRUE,TRUE,TRUE,TRUE,0.03,omega squared (partial),p. 3,0.001,l (<),NA (not reported),0.024,etasqu (partial),p. 6,0.002,e (=),NA (not reported)
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
