"work_id","title","authors_json","journal","year","source"
"W2186305685","Results from a Conrmatory Replication Study of Bem (2011): Precognitive Detection of Erotic Stimuli?","[{""given"":""Jan"",""family"":""Wagenmakers"",""sequence"":""first""},{""given"":""Ruud"",""family"":""Wetzels"",""sequence"":""additional""},{""given"":""Denny"",""family"":""Borsboom"",""sequence"":""additional""},{""given"":""Rogier"",""family"":""Kievit"",""sequence"":""additional""}]",NA,2011,"openalex"
"W185729583","Are Semantics Accessed for the Groundside of an Object? An Attempt to Replicate a Classic Experiment","[{""given"":""Rachel Therese"",""family"":""Champeau"",""sequence"":""first""}]","UA Campus Repository (The University of Arizona)",2013,"openalex"
"W1490891308","Turning classroom activities into research: a replication of the lost-letter study","[{""given"":""Rhoda"",""family"":""Scherman"",""sequence"":""first""}]","Tuwhera (Auckland University of Technology)",2011,"openalex"
"W2484584964","Failure to replicate increasing generosity by eyes","[{""given"":""Jacob"",""family"":""Jolij"",""sequence"":""first""},{""given"":""Tineke de"",""family"":""Haan"",""sequence"":""additional""}]","University of Groningen research database (University of Groningen / Centre for Information Technology)",2014,"openalex"
"W3117066131","A Character Strengths Intervention for Happiness and Depression in Saudi Arabia: A Replication of Seligman et al.’s (2005) Study","[{""given"":""Asma A."",""family"":""Basurrah"",""sequence"":""first""},{""given"":""David"",""family"":""O’Sullivan"",""sequence"":""additional""},{""given"":""Jason"",""family"":""Chan"",""sequence"":""additional""}]",NA,2020,"openalex"
"W1703767599","Evidence for the Salience Asymmetries producing IAT effects: Replication and Extension with a French-North African IAT","[{""given"":""Maria-Antoneta"",""family"":""Popa-Roch"",""sequence"":""first""},{""given"":""Florian"",""family"":""Delmas"",""sequence"":""additional""}]","SPIRE - Sciences Po Institutional REpository",2011,"openalex"
"W2187404911","PUBLIC PERCEPTION OF DESALINATED PRODUCED WATER FROM OIL AND GAS FIELD OPERATIONS: A REPLICATION *","[{""given"":""Gene L."",""family"":""Theodori"",""sequence"":""first""},{""given"":""Mona"",""family"":""Avalos"",""sequence"":""additional""},{""given"":""David B."",""family"":""Burnett"",""sequence"":""additional""},{""given"":""J. A."",""family"":""Veil"",""sequence"":""additional""}]","Journal of Rural Social Sciences",2011,"openalex"
"W200480173","Comparative replication studies of the ""Levitin Effect"" in five laboratories","[{""given"":""Timo"",""family"":""Fischinger"",""sequence"":""first""},{""given"":""Kathrin"",""family"":""Schlemmer"",""sequence"":""additional""},{""given"":""Klaus"",""family"":""Frieler"",""sequence"":""additional""},{""given"":""Daniel"",""family"":""Müllensiefen"",""sequence"":""additional""},{""given"":""Kai"",""family"":""Lothwesen"",""sequence"":""additional""},{""given"":""Kelly"",""family"":""Jakubowski"",""sequence"":""additional""}]",NA,2012,"openalex"
